user_id_1,user_id_2,connection_type,connection_date,interaction_frequency
U12345,U23456,friend,2023-05-15,high
U12345,U34567,follower,2023-08-22,low
U12345,U45678,friend,2023-03-10,medium
U23456,U45678,friend,2023-07-08,high
U23456,U56789,friend,2023-01-20,medium
U34567,U67890,follower,2023-11-03,low
U34567,U78901,friend,2023-09-17,low
U45678,U56789,friend,2023-04-25,high
U45678,U67890,friend,2023-06-12,medium
U45678,U78901,friend,2023-02-28,high
U56789,U67890,friend,2023-10-05,medium
U56789,U78901,friend,2023-01-08,high
U67890,U78901,friend,2023-12-01,medium
U12345,U56789,follower,2023-07-30,low
U23456,U67890,friend,2023-05-22,medium
U34567,U45678,follower,2023-10-15,low
U56789,U34567,blocked,2023-11-20,none
U78901,U12345,friend,2023-06-18,medium
U67890,U23456,friend,2023-09-03,high
U78901,U34567,follower,2023-08-14,low
